Game,Score,Record
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,1,1
10,0,1
11,0,1
12,0,1
13,0,1
14,0,1
15,0,1
16,0,1
17,1,1
18,0,1
19,1,1
20,0,1
21,0,1
22,0,1
23,0,1
24,0,1
25,0,1
26,1,1
27,0,1
28,0,1
29,1,1
30,0,1
31,1,1
32,0,1
33,0,1
34,0,1
35,0,1
36,1,1
37,0,1
38,0,1
39,0,1
40,1,1
41,1,1
42,0,1
43,1,1
44,2,2
45,1,2
46,0,2
47,0,2
48,0,2
49,0,2
50,2,2
51,1,2
52,1,2
53,1,2
54,0,2
55,2,2
56,0,2
57,0,2
58,2,2
59,2,2
60,4,4
61,1,4
62,6,6
63,1,6
64,1,6
65,1,6
66,2,6
67,1,6
68,4,6
69,3,6
70,1,6
71,3,6
72,3,6
73,1,6
74,0,6
75,2,6
76,3,6
77,5,6
78,3,6
79,2,6
80,7,7
81,0,7
82,3,7
83,7,7
84,0,7
85,2,7
86,5,7
87,3,7
88,0,7
89,12,12
90,2,12
91,12,12
92,9,12
93,7,12
94,4,12
95,1,12
96,14,14
97,40,40
98,21,40
99,3,40
100,20,40
101,35,40
102,22,40
103,36,40
104,36,40
105,14,40
106,33,40
107,20,40
108,35,40
109,13,40
110,28,40
111,13,40
112,29,40
113,31,40
114,25,40
115,31,40
116,41,41
117,16,41
118,17,41
119,45,45
120,26,45
121,7,45
122,23,45
123,30,45
124,19,45
125,18,45
126,35,45
127,57,57
128,22,57
129,49,57
130,24,57
131,52,57
132,35,57
133,43,57
134,25,57
135,26,57
136,54,57
137,23,57
138,31,57
139,37,57
140,29,57
141,28,57
142,33,57
143,13,57
144,25,57
145,15,57
146,37,57
147,30,57
148,35,57
149,36,57
150,57,57
151,24,57
152,35,57
153,7,57
154,29,57
155,11,57
156,24,57
157,22,57
158,37,57
159,29,57
160,38,57
161,26,57
162,36,57
163,12,57
164,17,57
165,17,57
166,26,57
167,27,57
168,46,57
169,50,57
170,22,57
171,48,57
172,31,57
173,28,57
174,46,57
175,15,57
176,18,57
177,15,57
178,25,57
179,35,57
180,30,57
181,27,57
182,30,57
183,22,57
184,28,57
185,21,57
186,28,57
187,30,57
188,25,57
189,17,57
190,22,57
191,49,57
192,30,57
193,31,57
194,18,57
195,2,57
196,28,57
197,37,57
198,48,57
199,23,57
200,50,57
201,23,57
202,48,57
203,45,57
204,11,57
205,48,57
206,38,57
207,23,57
208,23,57
209,20,57
210,53,57
211,37,57
212,48,57
213,25,57
214,13,57
215,49,57
216,32,57
217,15,57
218,35,57
219,31,57
220,19,57
221,23,57
222,31,57
223,30,57
224,54,57
225,19,57
226,31,57
227,18,57
228,22,57
229,40,57
230,48,57
231,58,58
232,63,63
233,37,63
234,42,63
235,17,63
236,21,63
237,43,63
238,59,63
239,31,63
240,43,63
241,30,63
242,25,63
243,51,63
244,27,63
245,57,63
246,30,63
247,42,63
248,22,63
249,3,63
250,25,63
251,14,63
252,22,63
