Game,Score,Record
1,0,0
2,0,0
3,1,1
4,0,1
5,0,1
6,0,1
7,0,1
8,0,1
9,0,1
10,0,1
11,1,1
12,0,1
13,1,1
14,0,1
15,1,1
16,0,1
17,0,1
18,0,1
19,0,1
20,0,1
21,0,1
22,0,1
23,1,1
24,0,1
25,0,1
26,0,1
27,0,1
28,0,1
29,0,1
30,0,1
31,1,1
32,0,1
33,0,1
34,0,1
35,0,1
36,0,1
37,0,1
38,0,1
39,0,1
40,0,1
41,0,1
42,2,2
43,0,2
44,0,2
45,0,2
46,1,2
47,0,2
48,0,2
49,0,2
50,0,2
51,1,2
52,0,2
53,0,2
54,0,2
55,0,2
56,1,2
57,1,2
58,1,2
59,0,2
60,0,2
61,0,2
62,0,2
63,0,2
64,0,2
65,1,2
66,1,2
67,0,2
68,1,2
69,0,2
70,1,2
71,2,2
72,0,2
73,1,2
74,1,2
75,0,2
76,0,2
77,0,2
78,0,2
79,0,2
80,0,2
81,0,2
82,1,2
83,0,2
84,0,2
85,1,2
86,1,2
87,1,2
88,0,2
89,3,3
90,1,3
91,0,3
92,1,3
93,1,3
94,0,3
95,0,3
96,0,3
97,0,3
98,5,5
99,1,5
100,6,6
101,0,6
102,0,6
